ma_code,ma_name,ma_level,ma_parent,ma_postal_code
130813,Tigo Nagari,3,1308,
1308132001,Malampah,4,130813,26358
1308132002,Ladang Panjang,4,130813,26358
1308132003,Binjai,4,130813,26358
130814,Rao,3,1308,
1308142002,Taruang Taruang,4,130814,26355
1308142005,Padang Mantinggi,4,130814,26355
130815,Mapat Tunggul Selatan,3,1308,
1308152001,Silayang,4,130815,26354
1308152002,Muaro Sungai Lolo,4,130815,26354
130816,Simpang Alahan Mati,3,1308,
1308162001,Alahan Mati,4,130816,26382
1308162002,Simpang,4,130816,26382
130817,Padang Gelugur,3,1308,
1308172001,Padang Gelugur,4,130817,26352
1308172002,Sontang Cubadak,4,130817,26352
1308172003,Sitombol Padang Gelugua,4,130817,26352
1308172004,Bahagia Padang Gelugua,4,130817,26352
130818,Rao Utara,3,1308,
1308182001,Koto Nopan,4,130818,26357
1308182002,Koto Rajo,4,130818,26357
1308182003,Languang,4,130818,26357
130819,Rao Selatan,3,1308,
1308192001,Lansek Kadok,4,130819,26356
1308192002,Lubuak Layang,4,130819,26356
1308192003,Tanjung Betung,4,130819,26356
1309,Kab. Kepulauan Mentawai,2,13,
130901,Pagai Utara,3,1309,
1309012007,Betumonga,4,130901,25390
1309012008,Silabu,4,130901,25390
1309012009,Saumanganya,4,130901,25390
130902,Sipora Selatan,3,1309,
1309022001,Bosua,4,130902,25392
1309022002,Beriulou,4,130902,25392
1309022003,Nemnemleleu,4,130902,25392
1309022004,Mara,4,130902,25392
1309022006,Sioban,4,130902,25392
1309022007,Matobe,4,130902,25392
1309022008,Saureinu,4,130902,25392
130903,Siberut Selatan,3,1309,
1309032002,Muara Siberut,4,130903,25397
1309032003,Maileppet,4,130903,25397
1309032004,Muntei,4,130903,25397
1309032005,Matotonan,4,130903,25397
1309032007,Madobag,4,130903,25397
130904,Siberut Utara,3,1309,
1309042003,Bojakan,4,130904,25395
1309042004,Sotboyak,4,130904,25395
1309042005,Mongan Poula,4,130904,25395
1309042006,Muara Sikabaluan,4,130904,25395
1309042007,Sirilogui,4,130904,25395
1309042008,Malancan,4,130904,25395
130905,Siberut Barat,3,1309,
1309052001,Simatalu,4,130905,25394
1309052002,Simalegi,4,130905,25394
1309052003,Sigapokna,4,130905,25394
130906,Siberut Barat Daya,3,1309,
1309062001,Katurei,4,130906,25393
1309062002,Sagulubbeg,4,130906,25393
1309062003,Pasakiat Taileleu,4,130906,25393
130907,Siberut Tengah,3,1309,
1309072001,Saibi Samukop,4,130907,25396
1309072002,Cimpungan,4,130907,25396
1309072003,Saliguma,4,130907,25396
130908,Sipora Utara,3,1309,
1309082001,Betumonga,4,130908,25398
1309082002,Goisooinan,4,130908,25398
1309082003,Tuapejat,4,130908,25398
1309082004,Sido Makmur,4,130908,25398
1309082005,Bukit Pamewa,4,130908,25398
1309082006,Sipora Jaya,4,130908,25398
130909,Sikakap,3,1309,
1309092001,Sikakap,4,130909,25399
1309092002,Taikako,4,130909,25399
1309092003,Matobe,4,130909,25399
130910,Pagai Selatan,3,1309,
1309102001,Sinaka,4,130910,25391
1309102002,Bulasat,4,130910,25391
1309102003,Malakopa,4,130910,25391
1309102004,Makalo,4,130910,25391
1310,Kab. Dharmasraya,2,13,
131001,Koto Baru,3,1310,
1310012002,Koto Baru,4,131001,27681
1310012003,Sialang Gaung,4,131001,27681
1310012005,Ampang Kuranji,4,131001,27681
1310012008,Koto Padang,4,131001,27681
131002,Pulau Punjung,3,1310,
1310022001,Sungai Dareh,4,131002,27573
1310022002,Tebing Tinggi,4,131002,27573
1310022006,Empat Koto Pulau Punjung,4,131002,27573
1310022007,Sungai Kambut,4,131002,27573
1310022008,Gunung Selasih,4,131002,27573
1310022009,Sikabau,4,131002,27573
131003,Sungai Rumbai,3,1310,
1310032003,Sungai Rumbai,4,131003,27686
1310032004,Kurnia Koto Salak,4,131003,27686
1310032007,Sungai Rumbai Timur,4,131003,27686
1310032008,Kurnia Selatan,4,131003,27686
131004,Sitiung,3,1310,
1310042001,Sitiung,4,131004,27678
1310042002,Siguntur,4,131004,27678
1310042004,Gunung Medan,4,131004,27678
1310042005,Sungai Duo,4,131004,27678
131005,Sembilan Koto,3,1310,
1310052001,Silago,4,131005,27683
1310052002,Lubuak Karak,4,131005,27683
1310052003,Koto Nan Empat Dibawuh,4,131005,27683
1310052004,Banai,4,131005,27683
131006,Timpeh,3,1310,
1310062001,Timpeh,4,131006,27679
1310062002,Taratak Tinggi,4,131006,27679
1310062003,Tabek,4,131006,27679
1310062004,Panyubarangan,4,131006,27679
1310062005,Ranah Palabi,4,131006,27679
131007,Koto Salak,3,1310,
1310072001,Koto Salak,4,131007,27680
1310072002,Ampalu,4,131007,27680
1310072003,Padukuan,4,131007,27680
1310072004,Pulau Mainan,4,131007,27680
1310072005,Simalidu,4,131007,27680
131008,Tiumang,3,1310,
1310082001,Tiumang,4,131008,27687
1310082002,Sungai Langkok,4,131008,27687
1310082003,Koto Beringin,4,131008,27687
1310082004,Sipangkur,4,131008,27687
131009,Padang Laweh,3,1310,
1310092001,Padang Laweh,4,131009,27682
1310092002,Batu Rijal,4,131009,27682
1310092003,Muaro Sopan,4,131009,27682
1310092004,Sopan Jaya,4,131009,27682
131010,Asam Jujuhan,3,1310,
1310102001,Sungai Limau,4,131010,27684
1310102002,Alahan Nan Tigo,4,131010,27684
1310102003,Lubuk Besar,4,131010,27684
1310102004,Tanjung Alam,4,131010,27684
1310102005,Sinamar,4,131010,27684
131011,Koto Besar,3,1310,
1310112001,Koto Besar,4,131011,27685
1310112002,Koto Tinggi,4,131011,27685
1310112003,Koto Gadang,4,131011,27685
1310112004,Bonjol,4,131011,27685
1310112005,Abai Siat,4,131011,27685
1310112006,Koto Laweh,4,131011,27685
1310112007,Koto Ranah,4,131011,27685
1311,Kab. Solok Selatan,2,13,
131101,Sangir,3,1311,
1311012001,Lubuk Gadang,4,131101,27778
1311012002,Lubuk Gadang Timur,4,131101,27778
1311012003,Lubuk Gadang Selatan,4,131101,27778
1311012004,Lubuk Gadang Utara,4,131101,27778
131102,Sungai Pagu,3,1311,
1311022001,Pasir Talang,4,131102,27774
1311022002,Koto Baru,4,131102,27774
1311022004,Sako Pasia Talang,4,131102,27774
1311022005,Pasar Muara Labuh,4,131102,27774
1311022006,Pulakek Koto Baru,4,131102,27774
1311022007,Bomas,4,131102,27774
1311022008,Sako Utara Pasia Talang,4,131102,27774
1311022009,Sako Selatan Pasia Talang,4,131102,27774
1311022010,Pasir Talang Barat,4,131102,27774
1311022011,Pasir Talang Timur,4,131102,27774
1311022012,Pasir Talang Selatan,4,131102,27774
131103,Koto Parik Gadang Diateh,3,1311,
1311032001,Pakan Rabaa,4,131103,27775
1311032002,Pakan Rabaa Timur,4,131103,27775
1311032003,Pakan Rabaa Utara,4,131103,27775
1311032004,Pakan Rabaa Tengah,4,131103,27775
131104,Sangir Jujuan,3,1311,
1311042001,Lubuk Malako,4,131104,27773
1311042002,Bidar Alam,4,131104,27773
1311042004,Padang Air Dingin,4,131104,27773
1311042005,Padang Limau Sundai,4,131104,27773
1311042006,Padang Gantiang,4,131104,27773
131105,Sangir Batang Hari,3,1311,
1311052001,Abai,4,131105,27779
1311052002,Dusun Tangah,4,131105,27779
1311052003,Lubuk Ulang Aling,4,131105,27779
1311052004,Ranah Pantai Cermin,4,131105,27779
1311052005,Sitapus,4,131105,27779
1311052006,Lubuk Ulang Aling Selatan,4,131105,27779
1311052007,Lubuk Ulang Aling Tengah,4,131105,27779
131106,Pauh Duo,3,1311,
1311062001,Alam Pauh Duo,4,131106,27776
1311062002,Kapau Alam Pauh Duo,4,131106,27776
1311062003,Luak Kapau Alam Pauh Duo,4,131106,27776
1311062004,Pauh Duo Nan Batigo,4,131106,27776
131107,Sangir Balai Janggo,3,1311,
1311072001,Sungai Kunyit,4,131107,27777
1311072002,Talao Sungai Kunyit,4,131107,27777
1311072003,Sungai Kunyit Barat,4,131107,27777
1311072004,Talunan Maju,4,131107,27777
1312,Kab. Pasaman Barat,2,13,
131201,Sungaiberemas,3,1312,
1312012001,Aia Bangih,4,131201,26573
131202,Lembah Melintang,3,1312,
1312022001,Ujung Gading,4,131202,26570
131203,Pasaman,3,1312,
1312032003,Lingkuang Aua,4,131203,26566
1312032004,Aua Kuniang,4,131203,26566
1312032006,Aia Gadang,4,131203,26566
131204,Talamau,3,1312,
1312042001,Kajai,4,131204,26561
1312042002,Talu,4,131204,26561
1312042003,Sinuruik,4,131204,26561
131205,Kinali,3,1312,
1312052001,Kinali,4,131205,26567
1312052002,Katiagan,4,131205,26567
131206,Gunungtuleh,3,1312,
